지역,연령별,성별,주관적 스트레스 수준
은평구,65~74,남,25.0
은평구,65~74,여,22.9
은평구,75 이상,계,18.2
은평구,75 이상,남,13.0
은평구,75 이상,여,21.8
성북구,계,계,26.5
성북구,계,남,23.2
성북구,계,여,29.1
성북구,19~44,계,35.8
성북구,19~44,남,33.1
성북구,19~44,여,38.1
성북구,45~64,계,21.7
성북구,45~64,남,18.2
성북구,45~64,여,24.3
성북구,65~74,계,16.5
성북구,65~74,남,11.1
성북구,65~74,여,20.3
성북구,75 이상,계,26.3
성북구,75 이상,남,18.6
성북구,75 이상,여,32.1
서대문구,계,계,27.4
서대문구,계,남,28.2
서대문구,계,여,26.9
서대문구,19~44,계,31.3
서대문구,19~44,남,31.1
서대문구,19~44,여,31.4
서대문구,45~64,계,26.3
서대문구,45~64,남,32.4
서대문구,45~64,여,22.2
서대문구,65~74,계,18.4
서대문구,65~74,남,17.9
서대문구,65~74,여,18.8
서대문구,75 이상,계,30.4
서대문구,75 이상,남,20.0
서대문구,75 이상,여,36.4
도봉구,계,계,25.9
도봉구,계,남,20.9
도봉구,계,여,29.6
도봉구,19~44,계,30.9
도봉구,19~44,남,27.3
도봉구,19~44,여,34.0
도봉구,45~64,계,25.8
도봉구,45~64,남,20.6
도봉구,45~64,여,29.4
도봉구,65~74,계,19.3
도봉구,65~74,남,16.7
도봉구,65~74,여,21.6
도봉구,75 이상,계,19.8
도봉구,75 이상,남,9.3
도봉구,75 이상,여,26.5
노원구,계,계,20.2
노원구,계,남,18.8
노원구,계,여,21.2
노원구,19~44,계,20.6
노원구,19~44,남,18.5
노원구,19~44,여,22.1
노원구,45~64,계,21.6
노원구,45~64,남,19.8
노원구,45~64,여,22.7
노원구,65~74,계,18.1
노원구,65~74,남,16.7
노원구,65~74,여,19.1
노원구,75 이상,계,14.9
노원구,75 이상,남,12.2
노원구,75 이상,여,16.4
강북구,계,계,23.3
강북구,계,남,18.9
강북구,계,여,26.6
강북구,19~44,계,35.5
강북구,19~44,남,29.8
강북구,19~44,여,40.1
강북구,45~64,계,19.9
강북구,45~64,남,17.8
강북구,45~64,여,21.6
강북구,65~74,계,22.5
강북구,65~74,남,20.7
강북구,65~74,여,23.8
강북구,75 이상,계,11.4
강북구,75 이상,남,2.8
강북구,75 이상,여,17.9
중구,계,계,21.4
중구,계,남,20.7
중구,계,여,22.1
중구,19~44,계,24.6
중구,19~44,남,18.8
중구,19~44,여,30.9
중구,45~64,계,19.7
중구,45~64,남,24.2
중구,45~64,여,15.9
중구,65~74,계,16.8
중구,65~74,남,21.2
중구,65~74,여,12.7
중구,75 이상,계,18.5
중구,75 이상,남,12.5
중구,75 이상,여,22.1
용산구,계,계,12.8
용산구,계,남,12.1
용산구,계,여,13.5
용산구,19~44,계,19.3
용산구,19~44,남,16.5
용산구,19~44,여,21.6
용산구,45~64,계,12.6
용산구,45~64,남,14.3
용산구,45~64,여,10.9
용산구,65~74,계,7.1
용산구,65~74,남,3.9
용산구,65~74,여,9.2
용산구,75 이상,계,6.5
용산구,75 이상,남,4.3
용산구,75 이상,여,8.2
송파구,계,계,21.7
송파구,계,남,18.7
송파구,계,여,24.0
송파구,19~44,계,28.0
송파구,19~44,남,25.1
송파구,19~44,여,30.5
송파구,45~64,계,21.2
송파구,45~64,남,17.5
송파구,45~64,여,23.9
송파구,65~74,계,12.5
송파구,65~74,남,7.5
송파구,65~74,여,15.7
송파구,75 이상,계,12.9
송파구,75 이상,남,10.7
송파구,75 이상,여,14.7
성동구,계,계,29.6
성동구,계,남,29.7
성동구,계,여,29.6
성동구,19~44,계,37.6
성동구,19~44,남,38.7
성동구,19~44,여,36.7
성동구,45~64,계,27.6
성동구,45~64,남,29.9
성동구,45~64,여,25.8
성동구,65~74,계,16.0
성동구,65~74,남,13.6
성동구,65~74,여,18.3
성동구,75 이상,계,21.5
성동구,75 이상,남,18.4
성동구,75 이상,여,23.6
서초구,계,계,25.2
서초구,계,남,27.2
서초구,계,여,23.7
서초구,19~44,계,33.4
서초구,19~44,남,34.0
서초구,19~44,여,33.0
서초구,45~64,계,25.4
서초구,45~64,남,31.7
서초구,45~64,여,20.8
서초구,65~74,계,13.5
서초구,65~74,남,10.4
서초구,65~74,여,15.9
서초구,75 이상,계,11.0
서초구,75 이상,남,8.6
서초구,75 이상,여,12.8
동대문구,계,계,27.8
동대문구,계,남,27.3
동대문구,계,여,28.2
동대문구,19~44,계,37.2
동대문구,19~44,남,35.1
동대문구,19~44,여,38.9
동대문구,45~64,계,27.0
동대문구,45~64,남,25.9
동대문구,45~64,여,28.0
동대문구,65~74,계,16.8
동대문구,65~74,남,18.6
동대문구,65~74,여,15.3
동대문구,75 이상,계,15.5
동대문구,75 이상,남,17.8
동대문구,75 이상,여,13.5
광진구,계,계,24.4
광진구,계,남,22.9
광진구,계,여,25.8
광진구,19~44,계,34.6
광진구,19~44,남,33.9
광진구,19~44,여,35.1
광진구,45~64,계,19.9
광진구,45~64,남,18.2
광진구,45~64,여,21.3
광진구,65~74,계,15.9
광진구,65~74,남,13.5
광진구,65~74,여,18.0
광진구,75 이상,계,12.7
광진구,75 이상,남,3.4
광진구,75 이상,여,20.6
강동구,계,계,21.4
강동구,계,남,17.1
강동구,계,여,24.9
강동구,19~44,계,26.1
강동구,19~44,남,21.6
강동구,19~44,여,30.0
강동구,45~64,계,18.8
강동구,45~64,남,15.6
강동구,45~64,여,21.3
강동구,65~74,계,14.9
강동구,65~74,남,7.4
강동구,65~74,여,20.9
강동구,75 이상,계,21.4
강동구,75 이상,남,20.0
강동구,75 이상,여,22.9
강남구,계,계,27.5
강남구,계,남,27.1
강남구,계,여,27.9
강남구,19~44,계,36.8
강남구,19~44,남,32.4
강남구,19~44,여,40.3
강남구,45~64,계,22.3
강남구,45~64,남,25.0
강남구,45~64,여,20.2
강남구,65~74,계,12.6
강남구,65~74,남,6.2
강남구,65~74,여,16.4
강남구,75 이상,계,16.7
강남구,75 이상,남,18.2
강남구,75 이상,여,15.8
